ball_id,innings,over_number,ball_number,bowler_name,batsman_name,outcome,runs_scored,dismissal_type,dismissal_fielder,bowler_type,line,length,variation,bowler_crease,swing_direction,movement,spin_direction,bowling_speed_kmph,ball_age_phase,shot_type,footwork,contact_quality,edge_type,shot_direction,batsman_handedness,phase,raw_description
T20-IndvsEng-IndBat_i1_1_5,1,1,5,Umran Malik,JC Buttler,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.5 Umran Malik → JC Buttler runs=6
T20-IndvsEng-IndBat_i1_1_6,1,1,6,Umran Malik,JC Buttler,wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.6 Umran Malik → JC Buttler runs=1
T20-IndvsEng-IndBat_i1_1_7,1,1,7,Umran Malik,JC Buttler,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 1.7 Umran Malik → JC Buttler runs=4
T20-IndvsEng-IndBat_i1_2_1,1,2,1,Ravi Bishnoi,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.1 Ravi Bishnoi → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_2_2,1,2,2,Ravi Bishnoi,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.2 Ravi Bishnoi → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_2_3,1,2,3,Ravi Bishnoi,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.3 Ravi Bishnoi → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_2_4,1,2,4,Ravi Bishnoi,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.4 Ravi Bishnoi → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_2_5,1,2,5,Ravi Bishnoi,JC Buttler,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.5 Ravi Bishnoi → JC Buttler runs=1
T20-IndvsEng-IndBat_i1_2_6,1,2,6,Ravi Bishnoi,JJ Roy,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 2.6 Ravi Bishnoi → JJ Roy runs=6
T20-IndvsEng-IndBat_i1_3_1,1,3,1,Avesh Khan,JC Buttler,3,3,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.1 Avesh Khan → JC Buttler runs=3
T20-IndvsEng-IndBat_i1_3_2,1,3,2,Avesh Khan,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.2 Avesh Khan → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_3_3,1,3,3,Avesh Khan,JC Buttler,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.3 Avesh Khan → JC Buttler runs=0
T20-IndvsEng-IndBat_i1_3_4,1,3,4,Avesh Khan,JC Buttler,wicket,0,bowled,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.4 Avesh Khan → JC Buttler runs=0 WICKET (bowled)
T20-IndvsEng-IndBat_i1_3_5,1,3,5,Avesh Khan,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.5 Avesh Khan → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_3_6,1,3,6,Avesh Khan,DJ Malan,wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.6 Avesh Khan → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_3_7,1,3,7,Avesh Khan,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 3.7 Avesh Khan → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_4_1,1,4,1,RA Jadeja,JJ Roy,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.1 RA Jadeja → JJ Roy runs=6
T20-IndvsEng-IndBat_i1_4_2,1,4,2,RA Jadeja,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.2 RA Jadeja → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_4_3,1,4,3,RA Jadeja,JJ Roy,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.3 RA Jadeja → JJ Roy runs=4
T20-IndvsEng-IndBat_i1_4_4,1,4,4,RA Jadeja,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.4 RA Jadeja → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_4_5,1,4,5,RA Jadeja,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.5 RA Jadeja → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_4_6,1,4,6,RA Jadeja,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 4.6 RA Jadeja → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_5_1,1,5,1,HV Patel,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.1 HV Patel → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_5_2,1,5,2,HV Patel,DJ Malan,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.2 HV Patel → DJ Malan runs=4
T20-IndvsEng-IndBat_i1_5_3,1,5,3,HV Patel,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.3 HV Patel → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_5_4,1,5,4,HV Patel,DJ Malan,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.4 HV Patel → DJ Malan runs=2
T20-IndvsEng-IndBat_i1_5_5,1,5,5,HV Patel,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.5 HV Patel → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_5_6,1,5,6,HV Patel,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,powerplay,[cricsheet] 5.6 HV Patel → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_6_1,1,6,1,Ravi Bishnoi,JJ Roy,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.1 Ravi Bishnoi → JJ Roy runs=2
T20-IndvsEng-IndBat_i1_6_2,1,6,2,Ravi Bishnoi,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.2 Ravi Bishnoi → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_6_3,1,6,3,Ravi Bishnoi,DJ Malan,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.3 Ravi Bishnoi → DJ Malan runs=4
T20-IndvsEng-IndBat_i1_6_4,1,6,4,Ravi Bishnoi,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.4 Ravi Bishnoi → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_6_5,1,6,5,Ravi Bishnoi,JJ Roy,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.5 Ravi Bishnoi → JJ Roy runs=0
T20-IndvsEng-IndBat_i1_6_6,1,6,6,Ravi Bishnoi,JJ Roy,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 6.6 Ravi Bishnoi → JJ Roy runs=1
T20-IndvsEng-IndBat_i1_7_1,1,7,1,Umran Malik,JJ Roy,wicket,0,caught,RR Pant,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.1 Umran Malik → JJ Roy runs=0 WICKET (caught)
T20-IndvsEng-IndBat_i1_7_2,1,7,2,Umran Malik,PD Salt,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.2 Umran Malik → PD Salt runs=4
T20-IndvsEng-IndBat_i1_7_3,1,7,3,Umran Malik,PD Salt,wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.3 Umran Malik → PD Salt runs=1
T20-IndvsEng-IndBat_i1_7_4,1,7,4,Umran Malik,PD Salt,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.4 Umran Malik → PD Salt runs=1
T20-IndvsEng-IndBat_i1_7_5,1,7,5,Umran Malik,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.5 Umran Malik → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_7_6,1,7,6,Umran Malik,DJ Malan,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.6 Umran Malik → DJ Malan runs=4
T20-IndvsEng-IndBat_i1_7_7,1,7,7,Umran Malik,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 7.7 Umran Malik → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_8_1,1,8,1,RA Jadeja,PD Salt,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.1 RA Jadeja → PD Salt runs=1
T20-IndvsEng-IndBat_i1_8_2,1,8,2,RA Jadeja,DJ Malan,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.2 RA Jadeja → DJ Malan runs=6
T20-IndvsEng-IndBat_i1_8_3,1,8,3,RA Jadeja,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.3 RA Jadeja → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_8_4,1,8,4,RA Jadeja,DJ Malan,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.4 RA Jadeja → DJ Malan runs=2
T20-IndvsEng-IndBat_i1_8_5,1,8,5,RA Jadeja,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.5 RA Jadeja → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_8_6,1,8,6,RA Jadeja,PD Salt,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 8.6 RA Jadeja → PD Salt runs=1
T20-IndvsEng-IndBat_i1_9_1,1,9,1,HV Patel,PD Salt,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.1 HV Patel → PD Salt runs=1
T20-IndvsEng-IndBat_i1_9_2,1,9,2,HV Patel,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.2 HV Patel → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_9_3,1,9,3,HV Patel,PD Salt,wicket,0,bowled,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.3 HV Patel → PD Salt runs=0 WICKET (bowled)
T20-IndvsEng-IndBat_i1_9_4,1,9,4,HV Patel,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.4 HV Patel → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_9_5,1,9,5,HV Patel,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.5 HV Patel → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_9_6,1,9,6,HV Patel,LS Livingstone,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 9.6 HV Patel → LS Livingstone runs=0
T20-IndvsEng-IndBat_i1_10_1,1,10,1,Ravi Bishnoi,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.1 Ravi Bishnoi → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_10_2,1,10,2,Ravi Bishnoi,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.2 Ravi Bishnoi → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_10_3,1,10,3,Ravi Bishnoi,DJ Malan,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.3 Ravi Bishnoi → DJ Malan runs=2
T20-IndvsEng-IndBat_i1_10_4,1,10,4,Ravi Bishnoi,DJ Malan,no_ball,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.4 Ravi Bishnoi → DJ Malan runs=5
T20-IndvsEng-IndBat_i1_10_5,1,10,5,Ravi Bishnoi,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.5 Ravi Bishnoi → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_10_6,1,10,6,Ravi Bishnoi,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.6 Ravi Bishnoi → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_10_7,1,10,7,Ravi Bishnoi,DJ Malan,3,3,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 10.7 Ravi Bishnoi → DJ Malan runs=3
T20-IndvsEng-IndBat_i1_11_1,1,11,1,RA Jadeja,DJ Malan,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.1 RA Jadeja → DJ Malan runs=4
T20-IndvsEng-IndBat_i1_11_2,1,11,2,RA Jadeja,DJ Malan,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.2 RA Jadeja → DJ Malan runs=6
T20-IndvsEng-IndBat_i1_11_3,1,11,3,RA Jadeja,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.3 RA Jadeja → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_11_4,1,11,4,RA Jadeja,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.4 RA Jadeja → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_11_5,1,11,5,RA Jadeja,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.5 RA Jadeja → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_11_6,1,11,6,RA Jadeja,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 11.6 RA Jadeja → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_12_1,1,12,1,Umran Malik,DJ Malan,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.1 Umran Malik → DJ Malan runs=0
T20-IndvsEng-IndBat_i1_12_2,1,12,2,Umran Malik,DJ Malan,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.2 Umran Malik → DJ Malan runs=2
T20-IndvsEng-IndBat_i1_12_3,1,12,3,Umran Malik,DJ Malan,4,4,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.3 Umran Malik → DJ Malan runs=4
T20-IndvsEng-IndBat_i1_12_4,1,12,4,Umran Malik,DJ Malan,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.4 Umran Malik → DJ Malan runs=6
T20-IndvsEng-IndBat_i1_12_5,1,12,5,Umran Malik,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.5 Umran Malik → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_12_6,1,12,6,Umran Malik,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 12.6 Umran Malik → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_13_1,1,13,1,Avesh Khan,LS Livingstone,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.1 Avesh Khan → LS Livingstone runs=6
T20-IndvsEng-IndBat_i1_13_2,1,13,2,Avesh Khan,LS Livingstone,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.2 Avesh Khan → LS Livingstone runs=2
T20-IndvsEng-IndBat_i1_13_3,1,13,3,Avesh Khan,LS Livingstone,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.3 Avesh Khan → LS Livingstone runs=0
T20-IndvsEng-IndBat_i1_13_4,1,13,4,Avesh Khan,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.4 Avesh Khan → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_13_5,1,13,5,Avesh Khan,DJ Malan,2,2,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.5 Avesh Khan → DJ Malan runs=2
T20-IndvsEng-IndBat_i1_13_6,1,13,6,Avesh Khan,DJ Malan,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 13.6 Avesh Khan → DJ Malan runs=6
T20-IndvsEng-IndBat_i1_14_1,1,14,1,RA Jadeja,LS Livingstone,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.1 RA Jadeja → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_14_2,1,14,2,RA Jadeja,DJ Malan,6,6,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.2 RA Jadeja → DJ Malan runs=6
T20-IndvsEng-IndBat_i1_14_3,1,14,3,RA Jadeja,DJ Malan,1,1,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.3 RA Jadeja → DJ Malan runs=1
T20-IndvsEng-IndBat_i1_14_4,1,14,4,RA Jadeja,LS Livingstone,wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.4 RA Jadeja → LS Livingstone runs=1
T20-IndvsEng-IndBat_i1_14_5,1,14,5,RA Jadeja,LS Livingstone,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.5 RA Jadeja → LS Livingstone runs=0
T20-IndvsEng-IndBat_i1_14_6,1,14,6,RA Jadeja,LS Livingstone,dot,0,none,,unknown,unknown,unknown,none,unknown,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,none,unknown,unknown,middle_overs,[cricsheet] 14.6 RA Jadeja → LS Livingstone runs=0
