ball_id,over_number,ball_number,bowler_name,batsman_name,outcome,runs_scored,dismissal_type,dismissal_fielder,bowler_type,line,length,variation,bowler_crease,swing_direction,bowling_speed_kmph,shot_type,footwork,contact_quality,edge_type,shot_direction,batsman_handedness,phase,raw_description
T20-IndvsEng-IndBat_i2_2_1,2,1,"DJ Willey","V Kohli",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,137.0,front_foot_defence,front_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls a good length delivery outside off, Kohli defends it on the front foot to cover."
T20-IndvsEng-IndBat_i2_2_2,2,2,"DJ Willey","V Kohli",4,4,none,,pace,middle,full,none,over_the_wicket,none,131.0,flick,front_foot,clean,none,long_on,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls full on middle, Kohli flicks it beautifully over mid-on for a boundary."
T20-IndvsEng-IndBat_i2_2_3,2,3,"DJ Willey","V Kohli",6,6,none,,pace,middle,full,none,over_the_wicket,none,133.0,flick,front_foot,clean,none,long_on,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls full on middle again, Kohli flicks it elegantly over mid-on for a six."
T20-IndvsEng-IndBat_i2_2_4,2,4,"DJ Willey","V Kohli",wicket,0,caught,"JJ Roy",pace,outside_off,short_of_length,none,over_the_wicket,none,136.0,cut,back_foot,edge,outside_edge,point,right_handed,powerplay,"[cricsheet+gemini-tech] Kohli backs away to a short of length delivery outside off, slashes hard but edges it to point where Roy takes the catch."
T20-IndvsEng-IndBat_i2_2_5,2,5,"DJ Willey","SA Yadav",1,1,none,,pace,leg,good,none,over_the_wicket,none,,flick,front_foot,clean,none,deep_fine_leg,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls on the pads, Yadav flicks it to fine leg for a single."
T20-IndvsEng-IndBat_i2_2_6,2,6,"DJ Willey","RG Sharma",dot,0,none,,pace,outside_off,good,slower,over_the_wicket,none,121.0,front_foot_defence,front_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Willey bowls a slower delivery outside off, Sharma defends it solidly on the front foot."
T20-IndvsEng-IndBat_i2_3_1,3,1,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,134.0,back_foot_defence,back_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a good length delivery outside off, Yadav defends it off the back foot to point."
T20-IndvsEng-IndBat_i2_3_2,3,2,"RJ Gleeson","SA Yadav",1,1,none,,pace,middle,good,none,over_the_wicket,none,,flick,front_foot,clean,none,square_leg,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls on middle and leg, Yadav flicks it to square leg for a single."
T20-IndvsEng-IndBat_i2_3_3,3,3,"RJ Gleeson","RG Sharma",1,1,none,,pace,outside_off,good,none,over_the_wicket,none,138.0,late_cut,back_foot,clean,none,third_man,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls outside off, Sharma opens the face of the bat and guides it to third man for a single."
T20-IndvsEng-IndBat_i2_3_4,3,4,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,142.0,back_foot_defence,back_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a quick delivery outside off, Yadav defends it solidly off the back foot."
T20-IndvsEng-IndBat_i2_3_5,3,5,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,,back_foot_defence,back_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls outside off, Yadav defends it off the back foot to point."
T20-IndvsEng-IndBat_i2_3_6,3,6,"RJ Gleeson","SA Yadav",4,4,none,,pace,outside_off,full,none,over_the_wicket,none,141.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson overpitches outside off, Yadav leans into a beautiful cover drive for a boundary."
T20-IndvsEng-IndBat_i2_4_1,4,1,"RJW Topley","RG Sharma",4,4,none,,pace,outside_off,full,none,over_the_wicket,none,135.0,lofted,front_foot,clean,none,deep_cover,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls full outside off, Rohit lofts it cleanly over extra cover for a boundary."
T20-IndvsEng-IndBat_i2_4_2,4,2,"RJW Topley","RG Sharma",1,1,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,137.0,late_cut,back_foot,clean,none,third_man,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls short of a length outside off, Rohit dabs it to short third man for a quick single."
T20-IndvsEng-IndBat_i2_4_3,4,3,"RJW Topley","SA Yadav",wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,,unknown,unknown,unknown,none,unknown,unknown,powerplay,"[cricsheet] 4.3 RJW Topley → SA Yadav runs=1"
T20-IndvsEng-IndBat_i2_4_4,4,4,"RJW Topley","SA Yadav",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,,drive,front_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls full outside off, SA Yadav drives it to point for a single."
T20-IndvsEng-IndBat_i2_4_5,4,5,"RJW Topley","RG Sharma",4,4,none,,pace,outside_off,full,none,over_the_wicket,none,135.0,drive,front_foot,clean,none,deep_point,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls full outside off, Rohit slices a one-handed drive past point for four."
T20-IndvsEng-IndBat_i2_4_6,4,6,"RJW Topley","RG Sharma",dot,0,none,,pace,outside_off,short_of_length,slower,over_the_wicket,none,,pull,front_foot,miss,none,none,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls a slower ball short of a length, Rohit attempts a pull but misses completely."
T20-IndvsEng-IndBat_i2_4_7,4,7,"RJW Topley","RG Sharma",wicket,0,caught,"PD Salt",pace,outside_off,short_of_length,cutter,over_the_wicket,none,116.0,pull,front_foot,edge,top_edge,behind_wicket,right_handed,powerplay,"[cricsheet+gemini-tech] Topley bowls an off-cutter, Rohit tries to pull but gets a top edge that is caught by Salt."
T20-IndvsEng-IndBat_i2_5_1,5,1,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,143.0,defend,back_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a good length delivery outside off, SA Yadav defends it to point."
T20-IndvsEng-IndBat_i2_5_2,5,2,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,,defend,back_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a good length delivery outside off, SA Yadav defends it to cover."
T20-IndvsEng-IndBat_i2_5_3,5,3,"RJ Gleeson","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,139.0,defend,back_foot,clean,none,point,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a good length delivery outside off, SA Yadav defends it to point."
T20-IndvsEng-IndBat_i2_5_4,5,4,"RJ Gleeson","SA Yadav",dot,0,none,,pace,leg,good,none,over_the_wicket,none,141.0,flick,front_foot,miss,none,square_leg,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls on the pads, SA Yadav misses the flick and it hits the pad for a leg bye."
T20-IndvsEng-IndBat_i2_5_5,5,5,"RJ Gleeson","SS Iyer",1,1,none,,pace,middle,good,none,over_the_wicket,none,140.0,on_drive,front_foot,clean,none,mid_on,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls a good length delivery on middle, Iyer pushes it down to mid-on for a quick single."
T20-IndvsEng-IndBat_i2_5_6,5,6,"RJ Gleeson","SA Yadav",1,1,none,,pace,outside_off,good,none,over_the_wicket,none,140.0,cover_drive,front_foot,clean,none,cover,right_handed,powerplay,"[cricsheet+gemini-tech] Gleeson bowls outside off, Yadav drives it towards cover for a single to end the over."
T20-IndvsEng-IndBat_i2_6_1,6,1,"DJ Willey","SA Yadav",4,4,none,,pace,outside_off,full,none,over_the_wicket,none,,lofted,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls full and wide outside off, Yadav lofts it beautifully over the cover region for a boundary."
T20-IndvsEng-IndBat_i2_6_2,6,2,"DJ Willey","SA Yadav",6,6,none,,pace,middle,full,none,over_the_wicket,none,,lofted,front_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls full on middle and leg, Yadav picks it up and flicks it elegantly over deep square leg for a six."
T20-IndvsEng-IndBat_i2_6_3,6,3,"DJ Willey","SA Yadav",1,1,none,,pace,middle,good,slower,over_the_wicket,none,123.0,sweep,front_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls a slower good length ball, Yadav gets down on one knee and sweeps it towards deep square leg for a single."
T20-IndvsEng-IndBat_i2_6_4,6,4,"DJ Willey","SS Iyer",1,1,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,135.0,cut,back_foot,clean,none,deep_point,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls short of a length outside off, Iyer cuts it off the back foot to deep point for a single."
T20-IndvsEng-IndBat_i2_6_5,6,5,"DJ Willey","SA Yadav",1,1,none,,pace,outside_off,full,slower,over_the_wicket,none,121.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls a slower full ball outside off, Yadav drives it firmly to deep cover for a single."
T20-IndvsEng-IndBat_i2_6_6,6,6,"DJ Willey","SS Iyer",2,2,none,,pace,outside_off,full,slower,over_the_wicket,none,121.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Willey bowls another slower full ball outside off, Iyer drives it nicely through the cover region and they run two."
T20-IndvsEng-IndBat_i2_7_1,7,1,"CJ Jordan","SA Yadav",1,1,none,,pace,outside_off,good,slower,over_the_wicket,none,122.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls a slower good length delivery outside off, Yadav drives it towards deep cover for a single."
T20-IndvsEng-IndBat_i2_7_2,7,2,"CJ Jordan","SS Iyer",dot,0,none,,pace,outside_off,good,slower,over_the_wicket,none,122.0,back_foot_defence,back_foot,clean,none,point,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls a slower good length ball outside off, Iyer defends it off the back foot towards point."
T20-IndvsEng-IndBat_i2_7_3,7,3,"CJ Jordan","SS Iyer",1,1,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,,cut,back_foot,clean,none,deep_third,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls short of a length outside off, Iyer cuts it to third man for a single."
T20-IndvsEng-IndBat_i2_7_4,7,4,"CJ Jordan","SA Yadav",4,4,none,,pace,outside_off,good,none,over_the_wicket,none,141.0,lofted,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls a good length delivery outside off, Yadav lofts it cleanly over extra cover for a boundary."
T20-IndvsEng-IndBat_i2_7_5,7,5,"CJ Jordan","SA Yadav",1,1,none,,pace,middle,full,slower,over_the_wicket,none,122.0,on_drive,front_foot,mistimed,none,long_on,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls a slower full delivery on middle, Yadav drives it in the air towards long on for a single."
T20-IndvsEng-IndBat_i2_7_6,7,6,"CJ Jordan","SS Iyer",dot,0,none,,pace,middle,good,none,over_the_wicket,none,141.0,on_drive,front_foot,clean,none,mid_on,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls a good length delivery on middle, Iyer drives it firmly to mid on for no run."
T20-IndvsEng-IndBat_i2_8_1,8,1,"LS Livingstone","SA Yadav",4,4,none,,spin,outside_off,short,none,over_the_wicket,none,94.0,square_cut,back_foot,clean,none,deep_point,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a short delivery outside off, Yadav cuts it powerfully behind square for a boundary."
T20-IndvsEng-IndBat_i2_8_2,8,2,"LS Livingstone","SA Yadav",dot,0,none,,spin,leg,short,none,over_the_wicket,none,,pull,back_foot,mistimed,none,fine_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a short delivery on the leg stump, Yadav pulls it to short fine leg for no run."
T20-IndvsEng-IndBat_i2_8_3,8,3,"LS Livingstone","SA Yadav",4,4,none,,spin,leg,short,none,over_the_wicket,none,,pull,back_foot,clean,none,deep_fine_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a short delivery down the leg side, Yadav pulls it fine for a boundary."
T20-IndvsEng-IndBat_i2_8_4,8,4,"LS Livingstone","SA Yadav",wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,,unknown,unknown,unknown,none,unknown,unknown,middle_overs,"[cricsheet] 8.4 LS Livingstone → SA Yadav runs=1"
T20-IndvsEng-IndBat_i2_8_5,8,5,"LS Livingstone","SA Yadav",4,4,none,,spin,middle,full,none,over_the_wicket,none,89.0,slog_sweep,front_foot,clean,none,deep_mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a full delivery on middle stump, Yadav slog sweeps it over mid wicket for a boundary."
T20-IndvsEng-IndBat_i2_8_6,8,6,"LS Livingstone","SA Yadav",dot,0,none,,spin,outside_off,good,none,over_the_wicket,none,,cut,back_foot,miss,none,none,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a good length delivery outside off, Yadav attempts to cut but misses."
T20-IndvsEng-IndBat_i2_8_7,8,7,"LS Livingstone","SA Yadav",2,2,none,,spin,middle,full,none,over_the_wicket,none,88.0,on_drive,front_foot,clean,none,long_on,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls a full delivery on middle, Yadav drives it down the ground to long on for a couple of runs."
T20-IndvsEng-IndBat_i2_9_1,9,1,"MM Ali","SS Iyer",2,2,none,,spin,middle,full,none,round_the_wicket,none,,flick,front_foot,clean,none,deep_mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Moeen Ali bowls full on middle, Iyer flicks it away to deep mid-wicket for a couple of runs."
T20-IndvsEng-IndBat_i2_9_2,9,2,"MM Ali","SS Iyer",dot,0,none,,spin,outside_off,full,none,round_the_wicket,none,85.0,drive,front_foot,miss,none,none,right_handed,middle_overs,"[cricsheet+gemini-tech] Moeen Ali tosses it up outside off, Iyer goes for a big drive but misses it completely."
T20-IndvsEng-IndBat_i2_9_3,9,3,"MM Ali","SS Iyer",6,6,none,,spin,middle,full,none,round_the_wicket,none,,slog_sweep,front_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] A high full toss on middle and leg, Iyer swats it away over deep square leg for a massive six."
T20-IndvsEng-IndBat_i2_9_4,9,4,"MM Ali","SS Iyer",dot,0,none,,spin,outside_off,full,none,round_the_wicket,none,,drive,front_foot,clean,none,cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Tossed up outside off, Iyer drives it firmly but straight to the fielder at cover."
T20-IndvsEng-IndBat_i2_9_5,9,5,"MM Ali","SS Iyer",1,1,none,,spin,middle,full,none,round_the_wicket,none,89.0,drive,front_foot,clean,none,long_on,right_handed,middle_overs,"[cricsheet+gemini-tech] Full delivery on middle, Iyer drives it down to long-on for a single."
T20-IndvsEng-IndBat_i2_9_6,9,6,"MM Ali","SA Yadav",wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,,unknown,unknown,unknown,none,unknown,unknown,middle_overs,"[cricsheet] 9.6 MM Ali → SA Yadav runs=1"
T20-IndvsEng-IndBat_i2_9_7,9,7,"MM Ali","SA Yadav",1,1,none,,spin,middle,full,none,round_the_wicket,none,,drive,front_foot,clean,none,long_on,right_handed,middle_overs,"[cricsheet+gemini-tech] Full on middle, Yadav drives it down to long-on for a single to end the over."
T20-IndvsEng-IndBat_i2_10_1,10,1,"CJ Jordan","SA Yadav",1,1,none,,pace,middle,short_of_length,none,over_the_wicket,none,140.0,pull,back_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Jordan bowls back of a length on middle, Yadav pulls it away to deep square leg for a single."
T20-IndvsEng-IndBat_i2_10_2,10,2,"CJ Jordan","SS Iyer",1,1,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,,cut,back_foot,clean,none,deep_third,right_handed,middle_overs,"[cricsheet+gemini-tech] Short of a length outside off, Iyer cuts it away to deep third man for a single."
T20-IndvsEng-IndBat_i2_10_3,10,3,"CJ Jordan","SA Yadav",2,2,none,,pace,middle,full,none,over_the_wicket,none,145.0,flick,front_foot,clean,none,deep_mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Full delivery on middle, Yadav flicks it away nicely to deep mid-wicket for a couple of runs."
T20-IndvsEng-IndBat_i2_10_4,10,4,"CJ Jordan","SA Yadav",dot,0,none,,pace,outside_off,good,none,over_the_wicket,none,,drive,front_foot,clean,none,cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Good length outside off, Yadav drives it firmly but straight to the fielder at cover."
T20-IndvsEng-IndBat_i2_10_5,10,5,"CJ Jordan","SA Yadav",4,4,none,,pace,outside_off,full,none,over_the_wicket,none,145.0,lofted,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Full and wide outside off, Yadav slices it extravagantly over point for a boundary."
T20-IndvsEng-IndBat_i2_10_6,10,6,"CJ Jordan","SA Yadav",1,1,none,,pace,outside_off,yorker,yorker,over_the_wicket,none,,drive,front_foot,mistimed,none,cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Yorker length outside off, Yadav squeezes it out towards cover for a single."
T20-IndvsEng-IndBat_i2_11_1,11,1,"RJW Topley","SA Yadav",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,131.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls full outside off, Yadav drives it firmly to deep cover for a single."
T20-IndvsEng-IndBat_i2_11_2,11,2,"RJW Topley","SS Iyer",1,1,none,,pace,middle,short_of_length,none,over_the_wicket,none,135.0,pull,back_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls short of a length on middle, Iyer pulls it away to deep square leg for a single."
T20-IndvsEng-IndBat_i2_11_3,11,3,"RJW Topley","SA Yadav",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,139.0,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls full outside off, Yadav drives it to deep cover for another single."
T20-IndvsEng-IndBat_i2_11_4,11,4,"RJW Topley","SS Iyer",dot,0,none,,pace,middle,good,none,over_the_wicket,none,,flick,front_foot,clean,none,mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls a good length on middle, Iyer flicks it straight to the fielder at mid-wicket."
T20-IndvsEng-IndBat_i2_11_5,11,5,"RJW Topley","SS Iyer",1,1,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,137.0,cut,back_foot,clean,none,point,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls short and wide outside off, Iyer cuts it towards point where the fielder makes a diving stop, but they scramble a single."
T20-IndvsEng-IndBat_i2_11_6,11,6,"RJW Topley","SA Yadav",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,,cover_drive,front_foot,clean,none,deep_cover,right_handed,middle_overs,"[cricsheet+gemini-tech] Topley bowls full outside off, Yadav drives it to deep cover for a single to end the over."
T20-IndvsEng-IndBat_i2_12_1,12,1,"LS Livingstone","SA Yadav",6,6,none,,spin,leg,full,none,round_the_wicket,none,88.0,sweep,front_foot,clean,none,deep_fine_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls full on the pads, Yadav gets down on one knee and sweeps it brilliantly over fine leg for a six."
T20-IndvsEng-IndBat_i2_12_2,12,2,"LS Livingstone","SA Yadav",1,1,none,,spin,middle,full,none,round_the_wicket,none,90.0,sweep,front_foot,clean,none,deep_square_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls full on middle, Yadav sweeps it along the ground to deep square leg for a single."
T20-IndvsEng-IndBat_i2_12_3,12,3,"LS Livingstone","SS Iyer",6,6,none,,spin,middle,full,none,round_the_wicket,none,89.0,lofted,front_foot,clean,none,long_off,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone tosses it up, Iyer steps down the track and lofts it cleanly straight down the ground for a massive six."
T20-IndvsEng-IndBat_i2_12_4,12,4,"LS Livingstone","SS Iyer",dot,0,none,,spin,outside_off,full,none,round_the_wicket,none,89.0,reverse_sweep,front_foot,miss,none,none,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls full outside off, Iyer attempts a reverse sweep but completely misses the ball."
T20-IndvsEng-IndBat_i2_12_5,12,5,"LS Livingstone","SS Iyer",no_ball,1,none,,unknown,unknown,unknown,none,unknown,unknown,,unknown,unknown,unknown,none,unknown,unknown,middle_overs,"[cricsheet] 12.5 LS Livingstone → SS Iyer runs=2"
T20-IndvsEng-IndBat_i2_12_6,12,6,"LS Livingstone","SA Yadav",6,6,none,,spin,middle,full,none,over_the_wicket,none,94.0,lofted,front_foot,clean,none,deep_mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Free hit delivery, Livingstone bowls full on middle, Yadav clears his front leg and lofts it cleanly over deep midwicket into the stands for six."
T20-IndvsEng-IndBat_i2_12_7,12,7,"LS Livingstone","SA Yadav",dot,0,none,,spin,outside_off,full,none,over_the_wicket,none,91.0,sweep,front_foot,miss,none,none,right_handed,middle_overs,"[cricsheet+gemini-tech] Livingstone bowls full outside off, turning away. Yadav attempts a sweep but misses. The keeper whips the bails off and appeals for a stumping, but the batsman's foot is grounded."
T20-IndvsEng-IndBat_i2_13_1,13,1,"RJ Gleeson","SS Iyer",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,132.0,drive,front_foot,mistimed,none,point,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls a full delivery outside off, Iyer drives it towards point where a misfield allows a single."
T20-IndvsEng-IndBat_i2_13_2,13,2,"RJ Gleeson","SA Yadav",6,6,none,,pace,outside_off,short_of_length,none,over_the_wicket,none,131.0,upper_cut,back_foot,clean,none,deep_third,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls back of a length outside off, Yadav opens the bat face and plays an extraordinary upper cut over short third man for a six."
T20-IndvsEng-IndBat_i2_13_3,13,3,"RJ Gleeson","SA Yadav",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,131.0,drive,front_foot,clean,none,deep_point,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls a full delivery wide outside off, Yadav reaches out and drives it to deep point for a single."
T20-IndvsEng-IndBat_i2_13_4,13,4,"RJ Gleeson","SS Iyer",1,1,none,,pace,outside_off,full,none,over_the_wicket,none,140.0,drive,front_foot,mistimed,none,point,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls full outside off, Iyer drives it towards point for a quick single."
T20-IndvsEng-IndBat_i2_13_5,13,5,"RJ Gleeson","SA Yadav",4,4,none,,pace,leg,full,slower,over_the_wicket,none,113.0,flick,front_foot,clean,none,fine_leg,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls a slower full delivery on the pads, Yadav uses his wrists to flick it fine past short fine leg for a boundary."
T20-IndvsEng-IndBat_i2_13_6,13,6,"RJ Gleeson","SA Yadav",2,2,none,,pace,middle,full,none,over_the_wicket,none,143.0,flick,front_foot,clean,none,deep_mid_wicket,right_handed,middle_overs,"[cricsheet+gemini-tech] Gleeson bowls full on middle, Yadav flicks it towards deep midwicket and they run hard to complete a double."
T20-IndvsEng-IndBat_i2_14_1,14,1,"CJ Jordan","SS Iyer",wide,0,none,,unknown,unknown,unknown,none,unknown,unknown,,unknown,unknown,unknown,none,unknown,unknown,middle_overs,"[cricsheet] 14.1 CJ Jordan → SS Iyer runs=1"
